Order,Lot Frontage,Lot Frontage,Garage Area,House Style,Fireplaces,Garage Type,Garage Cars,Yr Sold,SalePrice
1,141.0,141.0,528.0,1Story,2,Attchd,2.0,2010,215000
2,80.0,80.0,730.0,1Story,0,Attchd,1.0,2010,105000
3,81.0,81.0,312.0,1Story,0,Attchd,1.0,2010,172000
4,93.0,93.0,522.0,1Story,2,Attchd,2.0,2010,244000
5,74.0,74.0,482.0,2Story,1,Attchd,2.0,2010,189900
6,78.0,78.0,470.0,2Story,1,Attchd,2.0,2010,195500
7,41.0,41.0,582.0,1Story,0,Attchd,2.0,2010,213500
8,43.0,43.0,506.0,1Story,0,Attchd,2.0,2010,191500
9,39.0,39.0,608.0,1Story,1,Attchd,2.0,2010,236500
10,60.0,60.0,442.0,2Story,1,Attchd,2.0,2010,189000
11,75.0,75.0,440.0,2Story,1,Attchd,2.0,2010,175900
12,,,420.0,1Story,0,Attchd,2.0,2010,185000
13,63.0,63.0,393.0,2Story,1,Attchd,2.0,2010,180400
14,85.0,85.0,506.0,1Story,1,Attchd,2.0,2010,171500
15,,,528.0,1Story,0,Attchd,2.0,2010,212000
16,47.0,47.0,841.0,2Story,1,BuiltIn,3.0,2010,538000
17,152.0,152.0,492.0,1.5Fin,0,Basment,2.0,2010,164000
18,88.0,88.0,834.0,1Story,1,Attchd,3.0,2010,394432
19,140.0,140.0,400.0,1Story,0,Detchd,2.0,2010,141000
20,85.0,85.0,500.0,1Story,2,Attchd,2.0,2010,210000
21,105.0,105.0,546.0,1Story,1,Attchd,2.0,2010,190000
22,85.0,85.0,528.0,SFoyer,2,Attchd,2.0,2010,170000
23,,,663.0,2Story,0,Attchd,2.0,2010,216000
24,,,480.0,1Story,1,Attchd,2.0,2010,149000
25,,,500.0,1Story,1,Attchd,2.0,2010,149900
26,65.0,65.0,304.0,1Story,1,Attchd,1.0,2010,142000
27,70.0,70.0,525.0,1Story,0,Attchd,2.0,2010,126000
28,70.0,70.0,0.0,1Story,1,,0.0,2010,115000
29,26.0,26.0,511.0,1Story,1,Attchd,2.0,2010,184000
30,21.0,21.0,264.0,2Story,0,Detchd,1.0,2010,96000
31,21.0,21.0,320.0,2Story,0,Detchd,1.0,2010,105500
32,21.0,21.0,264.0,2Story,0,Detchd,1.0,2010,88000
33,53.0,53.0,440.0,1Story,1,Attchd,2.0,2010,127500
34,24.0,24.0,440.0,2Story,1,Attchd,2.0,2010,149900
35,24.0,24.0,308.0,1Story,0,Attchd,1.0,2010,120000
36,24.0,24.0,440.0,2Story,1,Attchd,2.0,2010,146000
37,102.0,102.0,751.0,2Story,1,Attchd,3.0,2010,376162
38,98.0,98.0,772.0,1Story,1,Attchd,3.0,2010,306000
39,83.0,83.0,606.0,1Story,1,Attchd,3.0,2010,395192
40,94.0,94.0,868.0,1Story,0,Attchd,3.0,2010,290941
41,95.0,95.0,532.0,1Story,1,Attchd,2.0,2010,220000
42,90.0,90.0,730.0,1Story,1,Attchd,3.0,2010,275000
43,79.0,79.0,678.0,1Story,1,Attchd,3.0,2010,259000
44,70.0,70.0,532.0,1Story,0,Attchd,2.0,2010,214000
45,100.0,100.0,820.0,1Story,2,Attchd,3.0,2010,611657
46,44.0,44.0,484.0,1Story,1,Attchd,2.0,2010,224000
47,110.0,110.0,958.0,1Story,2,Attchd,3.0,2010,500000
48,105.0,105.0,756.0,2Story,1,Attchd,3.0,2010,320000
49,61.0,61.0,576.0,1Story,1,Attchd,2.0,2010,319900
50,41.0,41.0,484.0,1Story,1,Attchd,2.0,2010,205000
51,36.0,36.0,474.0,2Story,0,BuiltIn,2.0,2010,175500
52,100.0,100.0,430.0,1Story,0,Attchd,2.0,2010,199500
53,43.0,43.0,437.0,1Story,0,Attchd,2.0,2010,160000
54,43.0,43.0,430.0,1Story,1,Attchd,2.0,2010,192000
55,67.0,67.0,400.0,SLvl,1,BuiltIn,2.0,2010,184500
56,,,440.0,2Story,2,BuiltIn,2.0,2010,216500
57,63.0,63.0,433.0,2Story,1,BuiltIn,2.0,2010,185088
58,,,400.0,SLvl,1,BuiltIn,2.0,2010,180000
59,,,434.0,2Story,1,BuiltIn,2.0,2010,222500
60,108.0,108.0,779.0,2Story,1,BuiltIn,3.0,2010,333168
61,60.0,60.0,962.0,2Story,1,Attchd,3.0,2010,355000
62,59.0,59.0,527.0,1Story,1,Attchd,2.0,2010,260400
63,98.0,98.0,712.0,2Story,2,Attchd,2.0,2010,325000
64,92.0,92.0,671.0,2Story,1,Attchd,3.0,2010,290000
65,58.0,58.0,486.0,2Story,0,Attchd,2.0,2010,221000
66,56.0,56.0,666.0,1.5Fin,1,Attchd,3.0,2010,410000
67,73.0,73.0,880.0,1Story,1,Attchd,3.0,2010,221500
68,92.0,92.0,676.0,1Story,0,Attchd,2.0,2010,204500
69,72.0,72.0,614.0,2Story,0,Attchd,2.0,2010,215200
70,75.0,75.0,750.0,1Story,0,Attchd,2.0,2010,262500
71,100.0,100.0,678.0,2Story,1,Attchd,2.0,2010,254900
72,84.0,84.0,528.0,1Story,1,Attchd,2.0,2010,271500
73,76.0,76.0,618.0,2Story,0,BuiltIn,2.0,2010,233000
74,70.0,70.0,484.0,2Story,0,Attchd,2.0,2010,181000
75,,,463.0,2Story,2,Attchd,2.0,2010,205000
76,50.0,50.0,264.0,1Story,1,Attchd,1.0,2010,143000
77,70.0,70.0,462.0,2Story,1,Attchd,2.0,2010,189000
78,55.0,55.0,264.0,1Story,1,Attchd,1.0,2010,99500
79,50.0,50.0,264.0,1Story,0,Attchd,1.0,2010,125000
80,,,457.0,2Story,0,Attchd,2.0,2010,194500
81,81.0,81.0,480.0,1Story,0,Attchd,2.0,2010,152000
